applicant_id,applicant_city,posid,year,aptdummy,female,black,juddummy,instatel,pubpvt,millerd,barnesd,perdued,deald,confirmed_atty_donor,political_donor,experience,sq_exp,gov_timely_donor,gov_nom_ideo_distance,n_times_applied_4_judgeships,number_applicants,median_lsat,gov_donor_amount,imputed_gov_nom_ideo_distance,bivariate_posid_missing,graph_aptdummy,model2_listwise,graph_aptdummym2,model3_listwise,graph_aptdummym3
2549,atlanta,10014,1992,0,0,0,1,0,1,1,0,0,0,confirmed attorney,1,14,196,0,.82847935,7,31,162,0,.82847935,,0,,0,,0
1421,savannah,10014,1992,0,0,0,0,1,0,1,0,0,0,confirmed attorney,1,22,484,0,.0036397954,3,31,165,0,.0036397954,,0,,0,,0
2074,atlanta,10014,1992,0,0,0,0,0,1,1,0,0,0,,0,20,400,0,,1,31,161,0,.27350399,,,,,,0
2117,macon,10014,1992,0,0,0,1,1,0,1,0,0,0,,0,19,361,0,,2,31,165,0,.1541615,,,,,,0
2579,brunswick,10014,1992,0,1,0,1,1,1,1,0,0,0,,0,16,256,0,,1,31,150,0,.40545547,,,,,,0
1602,madison,10014,1992,0,0,0,0,1,0,1,0,0,0,,0,12,144,0,,1,31,165,0,.0089868447,,,,,,0
746,atlanta,10014,1992,0,0,0,0,0,0,1,0,0,0,confirmed attorney,1,32,1024,0,.58722144,8,31,170,0,.58722144,,0,,0,,0
97,atlanta,10014,1992,0,0,1,1,0,1,1,0,0,0,,0,24,576,0,,3,31,173,0,.27350399,,,,,,0
2103,atlanta,10014,1992,0,0,0,0,0,0,1,0,0,0,,0,28,784,0,,5,31,170,0,.27350399,,,,,,0
393,atlanta,10015,1993,1,0,0,1,1,0,1,0,0,0,,0,33,1089,0,,3,34,165,0,.27350399,1,,1,,,.2
2145,atlanta,10015,1993,0,0,0,0,1,0,1,0,0,0,,0,16,256,0,,3,34,165,0,.27350399,1,,1,,,0
2214,gainesville,10015,1993,0,0,0,1,1,0,1,0,0,0,confirmed attorney,1,22,484,0,.27449545,5,34,165,0,.27449545,1,,1,,,0
1078,columbus,10015,1993,0,0,0,0,1,0,1,0,0,0,confirmed attorney,1,17,289,0,.0032647629,1,34,165,0,.0032647629,1,,1,,,0
2549,atlanta,10015,1993,0,0,0,1,0,1,1,0,0,0,confirmed attorney,1,15,225,0,.82847935,9,34,162,0,.82847935,1,,1,,,0
980,atlanta,10015,1993,0,0,1,1,1,1,1,0,0,0,,0,23,529,0,,11,34,150,0,.27350399,1,,1,,,0
420,atlanta,10015,1993,0,0,0,0,1,0,1,0,0,0,confirmed attorney,1,19,361,0,.4802469,4,34,165,0,.4802469,1,,1,,,0
97,atlanta,10015,1993,0,0,1,1,0,1,1,0,0,0,,0,25,625,0,,5,34,173,0,.27350399,1,,1,,,0
759,albany,10015,1993,0,0,0,0,1,0,1,0,0,0,,0,35,1225,0,,2,34,165,0,.053425767,1,,1,,,0
2074,atlanta,10015,1993,0,0,0,0,0,1,1,0,0,0,,0,21,441,0,,2,34,161,0,.27350399,1,,1,,,0
4,atlanta,10015,1993,0,0,0,0,0,1,1,0,0,0,confirmed attorney,1,19,361,0,.26661187,1,34,159,0,.26661187,1,,1,,,0
1602,madison,10015,1993,0,0,0,0,1,0,1,0,0,0,,0,13,169,0,,2,34,165,0,.0089868447,1,,1,,,0
2103,atlanta,10015,1993,0,0,0,0,0,0,1,0,0,0,,0,29,841,0,,6,34,170,0,.27350399,1,,1,,,0
555,atlanta,10015,1993,0,1,1,1,1,1,1,0,0,0,,0,23,529,0,,13,34,165,0,.27350399,1,,1,,,0
880,atlanta,10015,1993,0,0,0,0,1,1,1,0,0,0,unknown career,1,37,1369,0,,2,34,165,0,.27350399,1,,1,,,0
840,decatur,10015,1993,0,0,0,1,1,1,1,0,0,0,,0,30,900,0,,4,34,165,0,.67528963,1,,1,,,0
1109,marietta,10015,1993,0,0,0,1,1,1,1,0,0,0,,0,26,676,0,,6,34,165,0,.074481376,1,,1,,,0
2579,brunswick,10015,1993,0,1,0,1,1,1,1,0,0,0,,0,17,289,0,,2,34,150,0,.40545547,1,,1,,,0
2115,decatur,10015,1993,0,0,0,1,1,1,1,0,0,0,confirmed attorney,1,24,576,0,.60897768,6,34,165,0,.60897768,1,,1,,,0
242,jonesboro,10015,1993,0,0,0,1,1,0,1,0,0,0,,0,20,400,0,,5,34,165,0,.18019016,1,,1,,,0
2117,macon,10015,1993,0,0,0,1,1,0,1,0,0,0,,0,20,400,0,,3,34,165,0,.1541615,1,,1,,,0
1451,atlanta,10015,1993,0,0,0,0,1,1,1,0,0,0,confirmed attorney,1,39,1521,0,.47042429,2,34,165,0,.47042429,1,,1,,,0
1421,savannah,10015,1993,0,0,0,0,1,0,1,0,0,0,confirmed attorney,1,23,529,0,.0036397954,7,34,165,0,.0036397954,1,,1,,,0
1825,gainesville,10015,1993,0,0,0,0,0,0,1,0,0,0,,0,23,529,0,,2,34,160,0,.43951231,1,,1,,,0
891,jasper,10015,1993,0,1,0,1,1,1,1,0,0,0,,0,17,289,0,,6,34,165,0,.40988082,1,,1,,,0
1674,douglasville,10015,1993,0,0,0,1,1,1,1,0,0,0,,0,19,361,0,,5,34,165,0,.91175419,1,,1,,,0
850,athens,10015,1993,0,0,0,1,1,0,1,0,0,0,unknown career,1,42,1764,0,.44049239,2,34,165,0,.44049239,1,,1,,,0
719,atlanta,10015,1993,0,0,0,1,0,1,1,0,0,0,,0,29,841,0,,5,34,169,0,.27350399,1,,1,,,0
1415,hawkinsville,10015,1993,0,0,0,1,1,1,1,0,0,0,confirmed attorney,1,29,841,0,.43917263,3,34,165,0,.43917263,1,,1,,,0
1531,atlanta,10015,1993,0,1,0,0,1,1,1,0,0,0,,0,17,289,0,,11,34,165,0,.27350399,1,,1,,,0
10,marietta,10015,1993,0,0,0,1,1,1,1,0,0,0,,0,23,529,0,,5,34,155,0,.074481376,1,,1,,,0
635,atlanta,10015,1993,0,0,0,1,0,1,1,0,0,0,,0,15,225,0,,1,34,173,0,.27350399,1,,1,,,0
746,atlanta,10015,1993,0,0,0,0,0,0,1,0,0,0,confirmed attorney,1,33,1089,0,.58722144,10,34,170,0,.58722144,1,,1,,,0
1933,atlanta,10015,1993,0,0,0,1,1,0,1,0,0,0,confirmed attorney,1,41,1681,0,.1220377,15,34,165,0,.1220377,1,,1,,,0
1415,hawkinsville,10016,1994,0,0,0,1,1,1,1,0,0,0,confirmed attorney,1,30,900,0,.43917263,4,20,165,0,.43917263,,0,,0,,0
1222,lawrenceville,10016,1994,0,0,0,1,1,1,1,0,0,0,,0,23,529,0,,4,20,165,0,.14525367,,,,,,0
746,atlanta,10016,1994,0,0,0,0,0,0,1,0,0,0,confirmed attorney,1,34,1156,0,.58722144,11,20,170,0,.58722144,,0,,0,,0
1451,atlanta,10016,1994,0,0,0,0,1,1,1,0,0,0,confirmed attorney,1,40,1600,0,.47042429,3,20,165,0,.47042429,,0,,0,,0
719,atlanta,10016,1994,0,0,0,1,0,1,1,0,0,0,,0,30,900,0,,6,20,169,0,.27350399,,,,,,0
1109,marietta,10016,1994,0,0,0,1,1,1,1,0,0,0,,0,27,729,0,,7,20,165,0,.074481376,,,,,,0
1421,savannah,10016,1994,0,0,0,0,1,0,1,0,0,0,confirmed attorney,1,24,576,0,.0036397954,8,20,165,0,.0036397954,,0,,0,,0
1780,conyers,10016,1994,0,0,0,1,1,0,1,0,0,0,confirmed attorney,1,25,625,0,.98838776,3,20,165,0,.98838776,,0,,0,,0
1316,lagrange,10016,1994,0,0,0,1,1,0,1,0,0,0,,0,26,676,0,,1,20,165,0,1.3741462,,,,,,0
